# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: C:\Users\GoTouch\Documents\GitHub\Lab4\Lab4Modules.csv
# Generated on: Fri Mar 29 03:51:35 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
Estado_1,Output,PIN_V16,4A,B4A_N0,,,,,,,,,,,,,,
Estado_2,Output,PIN_W16,4A,B4A_N0,,,,,,,,,,,,,,
Estado_3,Output,PIN_V17,4A,B4A_N0,,,,,,,,,,,,,,
Estado_4,Output,PIN_V18,4A,B4A_N0,,,,,,,,,,,,,,
Exponente_suma[7],Output,,,,,,,,,,,,,,,,,
Exponente_suma[6],Output,,,,,,,,,,,,,,,,,
Exponente_suma[5],Output,,,,,,,,,,,,,,,,,
Exponente_suma[4],Output,,,,,,,,,,,,,,,,,
Exponente_suma[3],Output,,,,,,,,,,,,,,,,,
Exponente_suma[2],Output,,,,,,,,,,,,,,,,,
Exponente_suma[1],Output,,,,,,,,,,,,,,,,,
Exponente_suma[0],Output,,,,,,,,,,,,,,,,,
Hex1[6],Output,PIN_AE26,5A,B5A_N0,,,,,,,,,,,,,,
Hex1[5],Output,PIN_AE27,5A,B5A_N0,,,,,,,,,,,,,,
Hex1[4],Output,PIN_AE28,5A,B5A_N0,,,,,,,,,,,,,,
Hex1[3],Output,PIN_AG27,5A,B5A_N0,,,,,,,,,,,,,,
Hex1[2],Output,PIN_AF28,5A,B5A_N0,,,,,,,,,,,,,,
Hex1[1],Output,PIN_AG28,5A,B5A_N0,,,,,,,,,,,,,,
Hex1[0],Output,PIN_AH28,5A,B5A_N0,,,,,,,,,,,,,,
Hex2[6],Output,PIN_AJ29,5A,B5A_N0,,,,,,,,,,,,,,
Hex2[5],Output,PIN_AH29,5A,B5A_N0,,,,,,,,,,,,,,
Hex2[4],Output,PIN_AH30,5A,B5A_N0,,,,,,,,,,,,,,
Hex2[3],Output,PIN_AG30,5A,B5A_N0,,,,,,,,,,,,,,
Hex2[2],Output,PIN_AF29,5A,B5A_N0,,,,,,,,,,,,,,
Hex2[1],Output,PIN_AF30,5A,B5A_N0,,,,,,,,,,,,,,
Hex2[0],Output,PIN_AD27,5A,B5A_N0,,,,,,,,,,,,,,
Hex3[6],Output,PIN_AB23,5A,B5A_N0,,,,,,,,,,,,,,
Hex3[5],Output,PIN_AE29,5B,B5B_N0,,,,,,,,,,,,,,
Hex3[4],Output,PIN_AD29,5B,B5B_N0,,,,,,,,,,,,,,
Hex3[3],Output,PIN_AC28,5B,B5B_N0,,,,,,,,,,,,,,
